JAM,WINNER,GAME,THEME
25,rocknightstudios>>>https://rocknightstudios.itch.io,Run boiii >>>https://rocknightstudios.itch.io/run-boiii,POWER CUT or SUMMER HEAT 
24,Wolderado>>>https://wolderado.itch.io&&& Willitennis>>>https://willitennisgmail.itch.io,Dig Or Die >>>https://willitennisgmail.itch.io/dig-or-die,Old School
23,symphoniaGames>>>https://symphoniagames.itch.io,Be The One >>>https://symphoniagames.itch.io/be-the-one,ONE PUNCH
22,MapleMill>>>https://maplemill.itch.io/,Psychic Knight,ROCK KNIGHT
21,Catoner>>>https://catoner.itch.io,They Sure Grow Up Quick >>>https://catoner.itch.io/they-sure-grow-up-quick,Time Travel
20,Batuhan Taskaya>>>https://isidentical.itch.io,Kanuni >>>https://isidentical.itch.io/kanuni,MICRO EVOLUTION
19,markopolodev>>>https://markopolodev.itch.io,Chicken Bocks: AxeBocks 1 edition >>>https://markopolodev.itch.io/trijam-chicken-bocks,AXE MADNESS
18,bojidar_bg>>>https://bojidar-bg.itch.io,Coin Jump >>>https://bojidar-bg.itch.io/coin-jump,COIN FLIP
17,jdzsk>>>https://jdzsk.itch.io,Kill In Overdrive >>>https://jdzsk.itch.io/killer-in-overdrive,Permanent Overdrive
16,jerrtato>>>https://jerrtato.itch.io,Graveyard Danceoff >>>https://jerrtato.itch.io/graveyard-danceoff,Moonlight Spirits & Get Hyped
15,jerrtato>>>https://jerrtato.itch.io,Cute Little Death >>>https://jerrtato.itch.io/cute-little-death,HARD DECISIONS
14,JamminCogh>>>https://jammincogh.itch.io,Hot Robots Near You >>>https://jammincogh.itch.io/hot-robots-near-you,Robots Have Feelings Too
13,Aemetta>>>https://aemetta.itch.io,Fall In Eggs >>>https://aemetta.itch.io/falling-in-eggs,Falling in [blank] <- you pick
12,wormius51>>>https://wormius51.itch.io,Karma Maze >>>https://wormius51.itch.io/karma-maze,Black and White
11,JavaSaurus>>>https://javasaurus.itch.io,Rainbow Flames >>>https://javasaurus.itch.io/rainbow-flames,Taste the Rainbow
10,bojidar_bg>>>https://bojidar-bg.itch.io,Flower Defense >>>https://bojidar-bg.itch.io/flower-defense,Messy Business
9,Dark Player>>>https://dark-player.itch.io,Block Buster >>>https://dark-player.itch.io/block-buster,Quick Pistols
8,rocknightstudios>>>https://rocknightstudios.itch.io,Fist >>>https://rocknightstudios.itch.io/fist,One-handed Adventure
7,kaposts>>>https://kaposts.itch.io,Potatobattles >>>https://kaposts.itch.io/potatobattles,Immortal Potatoes
6,jdzsk>>>https://jdzsk.itch.io&&& mermalade>>>https://mermalade.itch.io/,Terrene Reverbaration >>>https://jdzsk.itch.io/terrene-reverberation,Planet BOOM
5,Yagich>>>https://yagich.itch.io&&& JavaSaurus>>>https://javasaurus.itch.io,Ancient Switches,Outdated technology
4,Run Hanako>>>https://run-hanako.itch.io,Questionable Game Design Choices Made In This Gaem >>>https://run-hanako.itch.io/questionable-game-design-choices-made-in-this-gaem,Questionable Newspaper
3,jdzsk>>>https://jdzsk.itch.io,Don't Get Sick Greenhouse >>>https://jdzsk.itch.io/dont-get-sick-greenhouse,Sick Greenhouse
2,Dromedda>>>https://dromedda.itch.io,Duckers >>>https://dromedda.itch.io/duckers,Acceptable Duck
1,Raul Rita,Unknown?,Soft Bra
